省份,城市,City,规模以上工业资产总计_全市,规模以上工业资产总计_市辖区,规模以上工业利润总额_全市,规模以上工业利润总额_市辖区
河南省,  鹤壁市, Hebi,10963755,7525610,51191,2379
河南省,  新乡市, Xinxiang,37369981,13433035,1203830,373788
河南省,  焦作市, Jiaozuo,29358777,14640931,1354410,622212
河南省,  濮阳市, Puyang,17984246,10009771,-347005,-385187
河南省,  许昌市, Xuchang,27313931,11299441,1150843,532539
河南省,  漯河市, Luohe,12786645,8290590,1349558,926522
河南省,  三门峡市, Sanmenxia,19560286,9521812,271797,256765
河南省,  南阳市, Nanyang,32278077,9430046,951836,62318
河南省,  商丘市, Shangqiu,20220161,5203171,575096,67100
河南省,  信阳市, Xinyang,14353576,7048026,388221,116469
河南省,  周口市, Zhoukou,17414360,4166884,720175,129591
河南省,  驻马店市, Zhumadian,19753275,8716491,887017,344205
湖北省,  武汉市, Wuhan,209726611,209726611,3337169,3337169
湖北省,  黄石市, Huangshi,28112162,13062511,771763,283906
湖北省,  十堰市, Shiyan,25065475,16990412,-12911,-243585
湖北省,  宜昌市, Yichang,76884669,17130534,7222282,1675248
湖北省,  襄阳市, Xiangyang,49771954,29765903,3437058,1694994
湖北省,  鄂州市, Ezhou,10784864,10784864,280033,280033
湖北省,  荆门市, Jingmen,29128105,19498903,1600585,1056747
湖北省,  孝感市, Xiaogan,24488093,6629167,1462075,286820
